speaker_id,speaker_number,speaker_sex,language,language_variety,filename,segment_start,segment_end,duration,timepoint,textgrid_label,segment_type,vowel_quality,phonation,vowel_nasality,tone_contour,number_of_tone_targets,tone_category,language_specific_tone,consonant_aspiration,consonant_nasality,strF0,sF0,pF0,shrF0,sF1,sB1,sF2,sB2,sF3,sB3,sF4,sB4,pF1,pF2,pF3,pF4,H1u,H1c,H2u,H2c,H4u,H4c,A1u,A1c,A2u,A2c,A3u,A3c,H1H2u,H1H2c,H2H4u,H2H4c,H1A1u,H1A1c,H1A2u,H1A2c,H1A3u,H1A3c,Energy,HNR05,HNR15,HNR25,HNR35,CPP,SHR,tone_misc,CQ,CQ_H,CQ_HT,CQ_PM,min_Vel,min_Vel_Time,peak_Vel,peak_Vel_Time,SQ2_SQ1,SQ4_SQ3,ratio,LPhon,SQ,token_id
Bo_F1,1,F,Bo,Village 1,F1_bi_33_02,356.175,546.071,189.896,5,i_33,Vowel,i,Tense,Oral,33.0,1.0,Mid,33,Unaspirated,Oral,225.155,133.061,227.802,227.121,408.009,98.717,2430.526,157.085,3403.327,147.423,4305.732,262.576,425.267,2466.738,3582.114,5296.1,22.786,19.206,20.226,10.851,0.545,11.821,17.94,-0.035,1.042,4.347,1.934,10.533,2.56,8.355,19.681,-0.97,4.846,19.242,21.744,14.859,20.851,8.673,4.771,17.448,26.86,28.665,27.489,19.043,0.006,mid,0.61,0.553,0.798,0.48,-403.411,451.519,1314.755,449.39,0.384,1.471,0.093,Bo-Tense,0.261046906866078,4907597150766159176
Bo_F1,1,F,Bo,Village 1,F1_bu_33_01,254.646,514.245,259.599,5,u_33,Vowel,u,Tense,Oral,33.0,1.0,Mid,33,Unaspirated,Oral,230.108,230.685,233.203,231.8,458.436,52.684,1122.017,153.928,3309.076,363.645,4258.755,386.883,524.935,1185.679,3498.961,4466.804,19.252,16.335,26.035,4.79,10.047,9.454,26.034,4.628,9.365,-3.371,-9.471,14.588,-6.783,11.545,15.987,-4.664,-6.782,11.753,9.886,19.706,28.722,1.747,8.54,46.454,47.202,51.314,51.392,27.563,0.668,mid,0.628,0.572,0.675,0.523,-361.182,385.204,1227.272,382.932,0.241,1.626,0.079,Bo-Tense,0.148216482164822,8072350465901000876
Bo_F1,1,F,Bo,Village 1,F1_bu_33_02,111.443,353.179,241.736,5,u_33,Vowel,u,Tense,Oral,33.0,1.0,Mid,33,Unaspirated,Oral,219.24,219.101,220.973,219.782,427.663,92.658,1153.103,201.181,3065.224,246.409,3905.466,468.922,798.764,2467.848,3838.86,4138.225,11.146,8.102,16.32,-2.102,2.234,4.693,16.319,-4.01,5.917,-5.061,-11.333,10.186,-5.174,10.204,14.086,-6.796,-5.173,12.134,5.23,13.162,22.48,-2.084,0.963,55.667,54.516,59.63,57.272,27.587,0.88,mid,0.617,0.557,0.638,0.55,-439.973,232.645,1586.752,230.135,0.319,1.522,0.085,Bo-Tense,0.209592641261498,-3328389303461128546
Bo_F1,1,F,Bo,Village 1,F1_de33_01,279.491,480.748,201.257,5,e33,Vowel,e,Lax,Oral,33.0,1.0,Mid,33,Unaspirated,Oral,208.898,209.032,209.587,209.498,632.424,192.892,1950.347,167.052,3346.548,247.179,4499.042,591.497,644.513,1953.468,3303.985,5659.534,15.159,14.047,18.514,13.101,14.336,10.051,22.767,-0.606,6.763,-3.71,-4.898,0.361,-3.354,0.946,4.178,3.05,-7.608,14.659,8.396,17.756,20.057,13.685,3.882,51.599,47.159,41.285,37.113,23.689,0.0,mid,0.597,0.535,0.622,0.438,-325.658,380.739,843.378,378.639,0.982,1.169,0.342,Bo-Lax,0.840034217279726,2966727643265679870
Bo_F1,1,F,Bo,Village 1,F1_dze_33_02,255.33,477.681,222.351,5,e_33,Vowel,e,Tense,Oral,33.0,1.0,Mid,33,Unaspirated,Oral,212.513,213.04,216.045,214.554,644.052,62.237,1923.589,157.296,2710.24,621.835,3394.338,211.024,663.057,2018.915,3327.01,5402.429,13.47,12.349,17.126,11.683,14.187,9.697,26.862,3.31,11.545,0.317,-0.562,-5.295,-3.656,0.666,2.939,1.986,-13.392,9.042,1.925,12.032,14.031,17.644,7.361,51.964,47.175,45.01,42.729,27.749,0.0,mid,0.64,0.549,0.704,0.54,-250.842,367.451,682.332,364.898,0.716,1.13,0.176,Bo-Tense,0.633628318584071,7261272737631223481
Bo_F1,1,F,Bo,Village 1,F1_dzu_33_01,311.668,541.006,229.338,5,u_33,Vowel,u,Tense,Oral,33.0,1.0,Mid,33,Unaspirated,Oral,203.284,203.33,208.754,204.933,448.51,94.156,1714.1,1191.737,3113.471,310.511,4082.816,390.718,638.971,710.595,3384.416,4288.774,15.011,12.712,23.76,6.703,9.88,15.73,23.712,3.387,-8.337,-12.593,-11.262,-1.739,-8.749,6.009,13.88,-9.027,-8.701,9.33,23.348,25.304,26.273,14.451,4.044,40.859,41.328,46.016,45.319,26.662,0.825,mid,0.722,0.612,0.635,0.629,-250.941,427.649,959.487,424.542,0.459,1.762,0.112,Bo-Tense,0.26049943246311,-3232948686174634198
Bo_F1,1,F,Bo,Village 1,F1_dzu_33_02,197.619,429.098,231.479,5,u_33,Vowel,u,Tense,Oral,33.0,1.0,Mid,33,Unaspirated,Oral,195.8,195.831,201.446,196.478,530.643,119.02,1200.6,137.352,2726.373,388.823,4539.216,1075.513,687.265,1188.896,3056.07,4823.835,12.515,10.779,19.316,9.459,9.336,7.892,18.589,-4.139,12.372,-1.675,-9.12,2.46,-6.802,1.319,9.98,1.567,-6.074,14.931,0.143,12.453,21.634,8.319,2.559,29.241,26.002,31.06,31.263,22.335,0.329,mid,0.676,0.578,0.592,0.455,-257.858,313.663,1159.86,311.32,0.297,1.137,0.052,Bo-Tense,0.261213720316623,-6605994670728611263
Bo_F1,1,F,Bo,Village 1,F1_hlo_33_01,422.587,688.988,266.401,5,o_33,Vowel,o,Tense,Oral,33.0,1.0,Mid,33,Unaspirated,Oral,215.94,215.888,217.422,217.464,610.798,125.944,1078.406,73.419,3210.916,266.263,3855.944,291.72,714.688,1023.742,3510.796,4229.565,19.41,17.844,24.118,16.286,20.942,12.195,26.89,1.749,23.053,3.247,-0.942,17.407,-4.708,1.558,3.176,4.091,-7.48,16.2,-3.642,14.597,20.352,0.437,18.995,44.783,38.533,45.402,45.147,27.629,0.0,mid,0.524,0.469,0.584,0.395,-417.449,556.193,1099.213,554.361,0.697,1.039,0.285,Bo-Tense,0.670837343599615,3872645433128522984
Bo_F1,1,F,Bo,Village 1,F1_hlo_33_02,323.522,533.022,209.5,5,o_33,Vowel,o,Tense,Oral,33.0,1.0,Mid,33,Unaspirated,Oral,212.832,212.554,213.842,213.459,611.184,137.23,1175.049,177.575,3181.883,813.225,3425.38,725.498,652.66,1164.465,3401.691,4677.78,16.657,15.168,22.081,14.677,17.241,9.802,26.496,1.682,18.137,-0.794,-6.896,10.389,-5.424,0.491,4.84,4.875,-9.839,13.564,-1.479,15.962,23.553,4.779,11.996,42.062,36.75,43.348,44.092,26.174,0.0,mid,0.58,0.535,0.641,0.526,-320.752,429.323,957.955,426.84,0.716,0.909,0.223,Bo-Tense,0.787678767876788,2141571806218129641
Bo_F1,1,F,Bo,Village 1,F1_hlo33_01,358.408,627.471,269.063,5,o33,Vowel,o,Lax,Oral,33.0,1.0,Mid,33,Unaspirated,Oral,218.883,218.838,219.488,219.583,637.331,76.45,1186.411,162.048,3325.874,454.105,4489.985,663.784,669.792,1201.194,3380.526,4653.36,19.807,18.371,25.577,18.541,19.526,11.321,32.272,7.063,23.792,4.21,-1.528,15.437,-5.771,-0.171,6.051,7.22,-12.465,11.398,-3.985,14.16,21.335,2.934,39.755,44.042,34.793,40.828,40.353,26.519,0.0,mid,0.587,0.525,0.758,0.413,-415.926,492.37,1606.748,490.482,0.29,1.38,0.098,Bo-Lax,0.210144927536232,7889088451076863392
