speaker_id,speaker_number,speaker_sex,language,language_variety,filename,segment_start,segment_end,duration,timepoint,textgrid_label,segment_type,vowel_quality,phonation,vowel_nasality,tone_contour,number_of_tone_targets,tone_category,language_specific_tone,consonant_aspiration,consonant_nasality,strF0,sF0,pF0,shrF0,sF1,sB1,sF2,sB2,sF3,sB3,sF4,sB4,pF1,pF2,pF3,pF4,H1u,H1c,H2u,H2c,H4u,H4c,A1u,A1c,A2u,A2c,A3u,A3c,H1H2u,H1H2c,H2H4u,H2H4c,H1A1u,H1A1c,H1A2u,H1A2c,H1A3u,H1A3c,Energy,HNR05,HNR15,HNR25,HNR35,CPP,SHR,tone_misc,CQ,CQ_H,CQ_HT,CQ_PM,min_Vel,min_Vel_Time,peak_Vel,peak_Vel_Time,SQ2_SQ1,SQ4_SQ3,ratio,LPhon,SQ,token_id
Hmong_M14,14,M,Hmong,White Hmong,14e-ca-w_Audio,1019.648,1233.262,213.614,5,a,Vowel,a,Modal,Oral,33.0,1.0,Mid,x,Unaspirated,Oral,130.544,130.168,130.261,129.74,817.444,91.758,1387.044,168.636,2454.948,166.544,3749.234,143.835,908.07,1713.895,3750.974,5185.195,10.098,9.793,14.855,13.594,14.388,8.457,27.979,-1.773,19.528,-4.94,5.782,-0.874,-4.757,-3.801,0.466,5.137,-17.881,11.579,-9.43,14.733,4.316,10.667,11.826,36.627,27.908,28.036,30.63,25.04,0.783,mid,0.641,0.593,0.634,0.583,-179.287,1128.441,435.333,1123.973,0.833,3.739,0.223,Hmong-Modal,0.222786841401444,7339384619267474438
Hmong_M14,14,M,Hmong,White Hmong,14e-cag-w_Audio,852.526,1042.764,190.238,5,a,Vowel,a,Breathy,Oral,53.0,2.0,High,g,Unaspirated,Oral,164.889,165.453,171.227,168.174,777.479,75.101,1474.173,80.484,2561.428,662.77,3507.577,634.099,868.997,1562.715,3550.845,4951.606,20.073,19.525,16.543,14.196,30.335,15.172,31.28,3.846,26.511,5.845,5.509,1.939,3.53,5.329,-13.793,-0.976,-11.207,15.69,-6.438,13.68,14.564,17.586,49.911,15.161,7.856,9.741,11.891,23.03,0.0,high,0.448,0.414,0.536,0.353,-419.591,949.221,1174.66,947.065,0.383,1.74,0.22,Hmong-Breathy,0.220114942528736,8756053336421820751
Hmong_M14,14,M,Hmong,White Hmong,14e-cam-w_Audio,1092.979,1318.643,225.664,5,a,Vowel,a,Creaky,Oral,21.0,2.0,Low,m,Unaspirated,Oral,116.062,116.236,120.057,117.892,830.627,82.16,1410.302,203.48,2519.715,78.868,3782.736,194.908,909.45,2236.76,4056.548,4868.883,9.297,9.051,15.893,14.886,12.499,7.935,28.471,-1.652,15.344,-9.399,5.385,-1.203,-6.597,-5.835,3.394,6.951,-19.175,10.716,-6.047,18.45,3.912,10.255,12.786,20.647,12.612,16.077,20.137,22.059,0.0,low,0.682,0.639,0.678,0.633,-200.637,1208.465,479.621,1202.985,0.864,3.758,0.232,Hmong-Creaky,0.2299095263438,-7618049597886823702
Hmong_M14,14,M,Hmong,White Hmong,14e-cav-w_Audio,993.545,1184.495,190.95,5,a,Vowel,a,Modal,Oral,24.0,2.0,Mid,v,Unaspirated,Oral,126.635,127.123,125.45,126.188,867.357,93.906,1461.539,239.741,2500.278,274.091,3856.349,242.998,907.272,1741.631,3944.643,5140.799,10.525,10.269,16.999,15.944,11.033,6.225,27.458,-2.786,16.837,-7.961,1.688,-6.412,-6.474,-5.676,5.967,9.719,-16.933,13.067,-6.311,18.23,8.838,16.68,10.536,32.168,24.068,24.184,26.504,23.23,0.511,mid,0.678,0.626,0.64,0.616,-233.466,1090.874,407.056,1086.017,1.102,3.227,0.341,Hmong-Modal,0.34149364735048,-7770987712127909661
Hmong_M14,14,M,Hmong,White Hmong,14e-cim-w_Audio,938.256,1107.991,169.735,5,i,Vowel,i,Creaky,Oral,21.0,2.0,Low,m,Unaspirated,Oral,120.685,119.855,123.564,244.738,246.233,13.862,2475.517,73.681,3225.53,677.991,3570.902,488.702,254.6,2563.183,3604.031,4889.649,12.575,10.281,23.042,10.746,2.118,10.868,23.039,10.735,-3.291,5.716,-6.785,4.66,-10.467,-0.466,20.924,-0.122,-10.464,-0.455,15.866,4.565,19.361,5.621,2.044,18.316,34.226,36.195,33.19,20.969,0.304,low,0.649,0.614,0.636,0.595,-299.857,1025.644,483.786,1020.653,1.019,3.624,0.282,Hmong-Creaky,0.281181015452539,-2431404089957059830
Hmong_M14,14,M,Hmong,White Hmong,14e-kab-w_Audio,915.703,1130.431,214.728,5,a,Vowel,a,Modal,Oral,45.0,2.0,High,b,Unaspirated,Oral,167.497,167.434,164.73,166.424,829.247,105.29,1449.098,123.721,2399.347,210.769,3770.075,125.719,926.686,1618.748,3778.388,5392.458,13.322,12.846,17.536,15.527,21.8,10.754,32.16,3.441,23.204,0.223,7.173,-1.092,-4.214,-2.681,-4.264,4.773,-18.839,9.417,-9.882,12.624,6.149,13.938,28.264,42.79,34.34,33.248,35.152,27.011,0.0,high,0.62,0.561,0.618,0.57,-211.87,1024.344,492.571,1020.945,0.733,2.769,0.265,Hmong-Modal,0.264716504153124,-2061835240795149940
Hmong_M14,14,M,Hmong,White Hmong,14e-kam-w_Audio,905.837,1117.362,211.525,5,a,Vowel,a,Creaky,Oral,21.0,2.0,Low,m,Unaspirated,Oral,123.09,123.006,124.362,123.374,832.5,63.495,1477.264,242.019,2442.081,97.764,3729.872,80.268,871.454,2034.433,3746.843,5058.897,10.728,10.463,16.116,15.025,15.118,10.111,29.297,-0.732,16.947,-7.674,6.236,-1.664,-5.389,-4.562,0.999,4.914,-18.569,11.206,-6.22,18.137,4.492,12.126,14.192,28.202,20.107,21.156,24.319,24.067,0.246,low,0.658,0.603,0.651,0.602,-175.766,1013.485,488.562,1008.572,0.837,3.572,0.234,Hmong-Creaky,0.234322508398656,-3458706241081081947
Hmong_M14,14,M,Hmong,White Hmong,14e-kas-w_Audio,928.968,1130.263,201.295,5,a,Vowel,a,Modal,Oral,22.0,1.0,Low,s,Unaspirated,Oral,130.878,130.837,131.143,131.105,851.412,104.92,1399.816,164.286,2428.8,84.34,3724.694,124.303,961.832,1971.072,3804.783,5159.896,10.997,10.705,15.871,14.668,15.449,9.854,27.124,-3.125,19.357,-5.825,8.058,-0.088,-4.875,-3.963,0.422,4.814,-16.128,13.843,-8.36,16.53,2.939,10.793,12.755,39.395,32.335,31.383,33.441,27.377,0.805,low,0.651,0.602,0.654,0.613,-182.474,1031.649,510.479,1026.969,0.756,3.49,0.217,Hmong-Modal,0.216618911174785,6663022450528787136
Hmong_M14,14,M,Hmong,White Hmong,14e-paj-w_Audio,895.506,1086.628,191.122,5,a,Vowel,a,Modal,Oral,53.0,2.0,High,j,Unaspirated,Oral,176.812,176.739,178.676,176.827,873.394,111.39,1384.41,74.74,2536.338,255.171,3618.492,137.451,963.574,1448.747,3553.424,5079.681,12.65,12.133,15.834,13.653,24.56,12.528,32.827,2.722,27.499,1.85,3.736,-1.091,-3.184,-1.519,-8.726,1.125,-20.177,9.441,-14.85,10.283,8.913,13.225,41.124,46.386,37.565,39.288,40.004,28.358,0.0,high,0.62,0.592,0.73,0.585,-204.418,991.991,625.902,988.677,0.504,2.926,0.173,Hmong-Modal,0.172248803827751,-1760139998745234077
Hmong_M14,14,M,Hmong,White Hmong,14e-po-w_Audio,755.53,981.452,225.922,5,o,Vowel,o,Modal,Oral,33.0,1.0,Mid,x,Unaspirated,Oral,154.562,154.641,155.799,306.147,610.652,41.743,927.597,24.946,2695.026,219.486,3278.987,281.385,717.138,825.609,3078.815,4806.595,15.153,14.327,20.336,16.718,34.461,6.833,34.46,6.284,30.951,6.667,2.368,15.059,-5.183,-2.39,-14.125,9.885,-19.306,8.134,-15.797,7.66,12.786,-0.731,48.658,46.463,41.142,46.314,42.557,27.295,0.369,mid,0.621,0.566,0.623,0.546,-236.007,870.016,688.94,866.476,0.705,2.79,0.253,Hmong-Modal,0.252688172043011,-4681338288747726512
