speaker_id,speaker_number,speaker_sex,language,language_variety,filename,segment_start,segment_end,duration,timepoint,textgrid_label,segment_type,vowel_quality,phonation,vowel_nasality,tone_contour,number_of_tone_targets,tone_category,language_specific_tone,consonant_aspiration,consonant_nasality,strF0,sF0,pF0,shrF0,sF1,sB1,sF2,sB2,sF3,sB3,sF4,sB4,pF1,pF2,pF3,pF4,H1u,H1c,H2u,H2c,H4u,H4c,A1u,A1c,A2u,A2c,A3u,A3c,H1H2u,H1H2c,H2H4u,H2H4c,H1A1u,H1A1c,H1A2u,H1A2c,H1A3u,H1A3c,Energy,HNR05,HNR15,HNR25,HNR35,CPP,SHR,tone_misc,CQ,CQ_H,CQ_HT,CQ_PM,min_Vel,min_Vel_Time,peak_Vel,peak_Vel_Time,SQ2_SQ1,SQ4_SQ3,ratio,LPhon,SQ,token_id
Luchun_F1,1,F,Luchun,,F1_ba_31_01,161.425,451.883,290.458,5,a_31,Vowel,a,Tense,Oral,31.0,2.0,Mid,31,Unaspirated,Oral,140.821,140.862,142.035,141.39,983.943,163.845,1685.158,95.567,2687.148,258.73,3701.395,414.905,1033.551,1760.574,3195.969,5347.283,16.242,15.991,20.89,19.86,18.769,14.09,28.319,-2.552,24.483,-0.204,9.02,-1.645,-4.649,-3.869,2.122,5.77,-12.077,18.556,-8.241,16.195,7.222,17.636,17.285,32.016,24.062,21.856,22.405,26.73,0.701,low,0.597,0.528,0.609,0.58,-281.307,308.8,972.931,304.683,0.995,2.927,0.294,Luchun-Tense,0.339938503587291,-1938945772817414721
Luchun_F1,1,F,Luchun,,F1_ba_31_02,140.576,403.242,262.666,5,a_31,Vowel,a,Tense,Oral,31.0,2.0,Mid,31,Unaspirated,Oral,133.793,133.834,134.227,134.229,901.306,139.865,1692.977,89.565,2717.8,312.035,3874.129,786.782,906.567,1710.371,2977.634,5581.707,15.691,15.434,17.973,16.917,18.694,13.838,29.081,-0.576,21.838,-0.808,5.236,-3.135,-2.282,-1.482,-0.722,3.079,-13.391,16.02,-6.147,16.242,10.455,18.569,19.109,33.37,27.025,26.219,27.661,29.033,0.621,low,0.559,0.497,0.667,0.523,-232.104,273.261,1086.602,269.356,0.533,1.958,0.103,Luchun-Tense,0.272216547497446,-691412365137552595
Luchun_F1,1,F,Luchun,,F1_ba_33_02,173.644,448.606,274.962,5,a_33,Vowel,a,Tense,Oral,33.0,1.0,Mid,33,Unaspirated,Oral,151.922,152.042,152.231,152.036,900.308,201.129,1647.999,77.098,2827.925,166.155,3844.608,792.034,906.449,1661.433,2987.345,5390.712,17.194,16.861,21.416,20.033,23.835,17.132,29.307,-0.143,24.111,1.242,9.307,3.557,-4.222,-3.172,-2.419,2.901,-12.113,17.019,-6.918,15.618,7.887,13.304,21.464,37.33,27.362,24.932,23.33,26.621,0.529,mid,0.54,0.5,0.589,0.46,-271.358,312.261,1035.934,309.239,0.623,2.652,0.237,Luchun-Tense,0.234917043740573,3219947597771250365
Luchun_F1,1,F,Luchun,,F1_ba31_02,202.499,539.478,336.979,5,a31,Vowel,a,Lax,Oral,31.0,2.0,Mid,31,Unaspirated,Oral,138.881,138.759,140.634,139.357,969.296,224.554,1688.443,216.76,2664.735,120.577,3782.98,531.489,1049.108,2245.926,3408.434,5084.487,20.805,20.561,19.828,18.826,11.953,7.426,16.193,-14.795,8.661,-16.195,1.285,-9.533,0.977,1.735,7.875,11.4,4.612,35.369,12.144,36.756,19.52,30.094,3.61,27.698,25.633,24.801,25.341,21.896,0.0,low,0.439,0.349,0.405,0.243,-374.0,371.693,1080.092,369.937,1.593,2.176,0.729,Luchun-Lax,0.732077205882353,-4668149964487596159
Luchun_F1,1,F,Luchun,,F1_bi_31_01,141.128,458.893,317.765,5,i_31,Vowel,i,Tense,Oral,31.0,2.0,Mid,31,Unaspirated,Oral,156.823,156.728,157.268,312.291,314.531,11.373,1791.703,1231.821,2921.428,182.606,3383.551,238.441,322.174,3026.799,3621.611,5270.692,15.782,13.304,26.318,10.629,2.155,10.355,26.316,10.632,-10.087,-10.703,0.384,13.03,-10.535,2.675,24.163,0.274,-10.534,2.673,25.87,24.007,15.398,0.275,5.375,39.694,53.616,55.172,49.285,27.272,0.351,low,0.64,0.57,0.616,0.595,-275.897,302.348,827.427,298.553,1.256,2.433,0.519,Luchun-Tense,0.516235100698726,4101888756856262126
Luchun_F1,1,F,Luchun,,F1_bi_31_02,109.093,424.251,315.158,5,i_31,Vowel,i,Tense,Oral,31.0,2.0,Mid,31,Unaspirated,Oral,154.41,154.431,154.653,156.351,323.93,35.845,2740.52,196.518,3332.343,178.939,4542.489,230.048,337.839,2824.931,3521.692,4856.757,17.544,15.333,25.55,10.553,5.044,12.895,25.548,9.451,4.405,12.173,0.908,4.791,-8.006,4.78,20.506,-2.342,-8.004,5.882,13.139,3.16,16.637,10.542,4.769,36.491,50.199,51.701,46.159,26.835,0.593,low,0.46,0.41,0.463,0.368,-309.914,268.428,824.953,266.045,1.267,2.455,0.52,Luchun-Tense,0.516089613034623,-6610679583463625680
Luchun_F1,1,F,Luchun,,F1_bi31_01,179.695,666.482,486.787,5,i31,Vowel,i,Lax,Oral,31.0,2.0,Mid,31,Unaspirated,Oral,160.738,160.453,162.726,161.547,345.628,62.858,2575.629,160.219,3080.43,143.145,4172.208,558.311,361.346,2724.587,3355.508,4997.345,19.437,17.311,22.304,7.639,4.405,11.594,22.303,5.066,-0.516,4.614,-0.802,0.005,-2.868,9.672,17.899,-3.954,-2.866,12.245,19.953,12.697,20.239,17.306,3.13,33.081,45.157,44.473,39.237,24.577,0.905,low,0.443,0.396,0.462,0.351,-501.233,424.595,1329.066,422.402,1.206,1.851,0.651,Luchun-Lax,0.651539708265802,-4803232430789841541
Luchun_F1,1,F,Luchun,,F1_bi31_02,152.022,548.893,396.871,5,i31,Vowel,i,Lax,Oral,31.0,2.0,Mid,31,Unaspirated,Oral,155.847,155.735,157.94,157.175,333.379,42.044,2501.564,152.264,3053.573,109.108,4112.248,456.397,346.749,2688.644,3331.781,5097.154,18.668,16.537,24.066,9.542,4.05,11.302,24.065,7.303,-0.922,4.018,-0.614,1.665,-5.398,6.994,20.017,-1.76,-5.397,9.234,19.59,12.518,19.282,14.871,3.998,30.394,43.729,43.917,39.342,24.775,0.751,low,0.435,0.383,0.452,0.333,-468.0,351.751,1281.665,349.608,1.3,1.916,0.682,Luchun-Lax,0.678496868475992,-1919636450561714137
Luchun_F1,1,F,Luchun,,F1_bja_31_01,234.429,492.45,258.021,5,a_31,Vowel,a,Tense,Oral,31.0,2.0,Mid,31,Unaspirated,Oral,130.781,130.915,131.95,131.271,746.744,477.734,1894.591,203.291,2951.887,362.542,4161.035,1092.556,938.355,1910.888,3056.016,5340.167,7.965,7.648,14.688,13.367,10.521,3.883,15.948,-10.939,14.676,-1.317,2.39,-2.512,-6.724,-5.719,4.167,9.485,-7.984,18.592,-6.711,8.965,5.575,10.161,2.491,35.844,31.964,28.765,27.847,28.013,0.824,low,0.752,0.611,0.68,0.706,-105.539,366.187,377.929,360.803,1.092,3.644,0.3,Luchun-Tense,0.29967069154775,4918674102033413472
Luchun_F1,1,F,Luchun,,F1_bja_33_01,243.679,492.498,248.819,5,a_33,Vowel,a,Tense,Oral,33.0,1.0,Mid,33,Unaspirated,Oral,159.742,159.486,161.596,160.969,747.385,129.674,1867.198,115.685,2903.992,155.435,3990.155,867.508,799.187,1901.123,2953.821,5014.77,13.14,12.624,21.343,19.12,26.416,10.933,27.112,1.253,21.175,6.146,13.256,9.511,-8.203,-6.496,-5.073,8.188,-13.972,11.376,-8.035,6.478,-0.116,3.113,15.226,40.711,36.765,33.063,31.195,29.531,0.841,mid,0.6,0.536,0.622,0.503,-189.49,369.591,768.552,366.435,0.763,2.551,0.298,Luchun-Tense,0.299098392787142,2136276756798241572
