speaker_id,speaker_number,speaker_sex,language,language_variety,filename,segment_start,segment_end,duration,timepoint,textgrid_label,segment_type,vowel_quality,phonation,vowel_nasality,tone_contour,number_of_tone_targets,tone_category,language_specific_tone,consonant_aspiration,consonant_nasality,strF0,sF0,pF0,shrF0,sF1,sB1,sF2,sB2,sF3,sB3,sF4,sB4,pF1,pF2,pF3,pF4,H1u,H1c,H2u,H2c,H4u,H4c,A1u,A1c,A2u,A2c,A3u,A3c,H1H2u,H1H2c,H2H4u,H2H4c,H1A1u,H1A1c,H1A2u,H1A2c,H1A3u,H1A3c,Energy,HNR05,HNR15,HNR25,HNR35,CPP,SHR,tone_misc,CQ,CQ_H,CQ_HT,CQ_PM,min_Vel,min_Vel_Time,peak_Vel,peak_Vel_Time,SQ2_SQ1,SQ4_SQ3,ratio,LPhon,SQ,token_id
Miao_M7,7,M,Miao,Black Miao,leibo_m7_02,1528.514,1910.096,381.582,5,pa_44_01,Vowel,a,Modal,Oral,44.0,1.0,High,44,Unaspirated,Oral,137.456,137.143,,137.401,931.592,271.066,1281.261,261.581,2891.84,883.896,3425.896,378.022,,,,,20.071,19.773,12.068,10.841,17.981,12.385,20.667,-13.06,16.238,-14.626,-9.927,-9.35,8.003,8.931,-5.913,-1.544,-0.596,32.942,3.833,34.399,29.998,29.122,3.797,35.764,28.995,33.352,33.911,25.473,0.178,High,0.51,0.362,0.433,0.285,-84.36,1720.626,268.686,1718.552,2.55,2.595,0.995,Miao-Modal,0.982658959537572,8498933186720426688
Miao_M7,7,M,Miao,Black Miao,leibo_m7_08,179.764,578.242,398.478,5,pa13_01,Vowel,a,Modal,Oral,13.0,2.0,Low,13,Unaspirated,Oral,135.62,135.534,,,938.265,102.709,1391.391,170.988,2342.37,232.836,4491.226,373.538,,,,,22.634,22.369,17.455,16.367,22.214,17.302,34.844,2.461,27.889,-0.517,14.208,2.579,5.179,6.002,-4.759,-0.934,-12.211,19.927,-5.255,22.886,8.426,19.79,53.305,27.953,20.642,21.471,24.159,27.44,0.0,Low,0.478,0.36,0.458,0.333,-102.798,380.81,373.83,378.363,2.524,2.736,0.927,Miao-Modal,0.922514619883041,301234434426169470
Miao_M7,7,M,Miao,Black Miao,leibo_m7_08,1070.576,1473.993,403.417,5,pa13_02,Vowel,a,Modal,Oral,13.0,2.0,Low,13,Unaspirated,Oral,138.598,138.504,,,940.436,91.97,1316.273,155.659,2281.154,271.321,3648.082,487.449,,,,,22.96,22.674,17.436,16.26,21.411,16.063,34.422,1.224,28.773,-1.099,10.47,-0.72,5.524,6.414,-3.975,0.197,-11.462,21.476,-5.813,23.773,12.49,23.393,43.665,30.517,22.255,23.721,26.369,26.926,0.0,Low,0.42,0.34,0.451,0.234,-95.211,1273.07,343.404,1271.383,2.196,2.49,0.883,Miao-Modal,0.881927710843374,6753218982381356376
Miao_M7,7,M,Miao,Black Miao,leibo_m7_10,4274.837,4758.56,483.723,5,pye44_03,Vowel,e,Modal,Oral,44.0,1.0,High,44,Unaspirated,Oral,165.182,165.368,,,377.349,80.43,2010.298,64.163,2603.832,164.002,3688.708,368.768,,,,,22.956,21.124,22.176,10.856,4.072,8.755,18.273,-0.811,10.143,8.298,2.483,2.092,0.78,10.268,18.105,2.101,4.683,21.935,12.813,12.825,20.474,19.032,4.969,32.825,47.109,46.447,45.362,28.71,0.0,High,0.5,0.388,0.43,0.368,-188.52,4517.657,528.459,4515.426,1.972,2.14,0.922,Miao-Modal,0.921495327102804,6695107963465344123
Miao_M7,7,M,Miao,Black Miao,leibo_m7_10,5212.361,5611.308,398.947,5,pye44_04,Vowel,e,Modal,Oral,44.0,1.0,High,44,Unaspirated,Oral,165.18,165.224,,,353.22,101.532,1999.77,42.726,2532.119,160.498,3603.633,367.9,,,,,23.928,21.92,22.671,10.054,6.343,11.909,19.202,0.832,10.623,9.378,1.811,0.485,1.258,11.866,16.327,-1.855,4.726,21.088,13.305,12.542,22.117,21.435,5.347,31.062,44.775,44.569,45.158,28.853,0.0,High,0.516,0.375,0.41,0.335,-198.936,5412.604,540.363,5410.573,2.152,2.174,0.991,Miao-Modal,0.989880404783809,2737071520499608961
Miao_M7,7,M,Miao,Black Miao,leibo_m7_100,2367.822,2720.224,352.402,5,te44_01,Vowel,e,Modal,Oral,44.0,1.0,High,44,Unaspirated,Oral,177.427,177.574,,177.309,543.992,204.555,1698.365,72.584,2611.882,185.499,3898.78,516.477,,,,,23.546,22.445,19.922,14.569,18.626,14.304,25.85,2.98,16.857,5.976,5.14,5.311,3.624,7.876,1.296,0.265,-2.304,19.468,6.689,16.47,18.406,17.135,10.631,34.691,38.826,38.552,40.085,28.625,0.0,High,0.437,0.389,0.432,0.344,-181.951,2545.051,432.152,2543.114,1.713,1.885,0.916,Miao-Modal,0.908753315649867,3397359827743125827
Miao_M7,7,M,Miao,Black Miao,leibo_m7_100,3597.903,3933.682,335.779,5,te44_02,Vowel,e,Modal,Oral,44.0,1.0,High,44,Unaspirated,Oral,172.092,172.103,,172.904,560.342,226.179,1617.144,84.052,2595.829,177.101,4045.1,480.571,,,,,23.402,22.441,18.264,13.759,20.313,12.687,22.846,-0.617,16.922,4.337,6.305,6.424,5.138,8.683,-2.049,1.071,0.556,23.061,6.479,18.105,17.097,16.017,7.537,37.051,39.783,39.741,41.045,30.287,0.0,High,0.436,0.38,0.429,0.326,-162.907,3767.017,388.588,3765.117,1.834,2.041,0.901,Miao-Modal,0.898579127878491,-571477651118280789
Miao_M7,7,M,Miao,Black Miao,leibo_m7_101,1660.03,2067.648,407.618,5,te44_03,Vowel,e,Modal,Oral,44.0,1.0,High,44,Unaspirated,Oral,178.89,179.089,,,551.092,252.533,1702.461,145.973,2659.667,195.095,3761.449,387.354,,,,,22.25,21.198,19.019,13.973,19.682,14.321,25.349,2.221,12.377,0.981,2.94,3.007,3.231,7.226,-0.664,-0.349,-3.099,18.98,9.873,20.217,19.31,18.191,8.246,37.65,40.473,40.898,42.292,29.929,0.0,High,0.439,0.372,0.436,0.293,-138.011,1864.921,328.104,1863.281,1.632,1.86,0.88,Miao-Modal,0.87741935483871,7116873692401933734
Miao_M7,7,M,Miao,Black Miao,leibo_m7_101,2908.901,3267.373,358.472,5,te44_04,Vowel,e,Modal,Oral,44.0,1.0,High,44,Unaspirated,Oral,171.536,171.551,,,482.29,225.635,1605.373,107.034,2563.729,108.552,3885.069,580.655,,,,,22.388,21.101,18.013,11.433,13.003,11.576,24.385,2.111,16.325,6.666,8.559,11.085,4.375,9.668,5.01,-0.143,-1.997,18.992,6.063,14.435,13.829,10.015,7.064,38.876,38.563,37.982,38.409,28.904,0.0,High,0.477,0.41,0.469,0.358,-112.905,3089.747,342.916,3087.658,1.737,2.081,0.835,Miao-Modal,0.83469485824123,8973733735871921013
Miao_M7,7,M,Miao,Black Miao,leibo_m7_102,1662.121,2058.935,396.814,5,hle44_01,Vowel,e,Modal,Oral,44.0,1.0,High,44,Unaspirated,Oral,177.394,177.479,,177.309,490.853,250.132,1725.085,67.471,2715.574,192.198,4282.658,739.983,,,,,22.663,21.343,19.196,12.364,17.708,16.87,24.877,2.701,19.209,10.436,7.377,10.503,3.466,8.979,1.489,-4.506,-2.215,18.644,3.453,10.907,15.286,10.84,9.603,34.501,35.938,35.893,36.132,28.855,0.0,High,0.444,0.391,0.453,0.34,-154.189,1861.423,424.781,1859.504,1.602,1.953,0.823,Miao-Modal,0.820276497695853,3773816920066271510
