speaker_id,speaker_number,speaker_sex,language,language_variety,filename,segment_start,segment_end,duration,timepoint,textgrid_label,segment_type,vowel_quality,phonation,vowel_nasality,tone_contour,number_of_tone_targets,tone_category,language_specific_tone,consonant_aspiration,consonant_nasality,strF0,sF0,pF0,shrF0,sF1,sB1,sF2,sB2,sF3,sB3,sF4,sB4,pF1,pF2,pF3,pF4,H1u,H1c,H2u,H2c,H4u,H4c,A1u,A1c,A2u,A2c,A3u,A3c,H1H2u,H1H2c,H2H4u,H2H4c,H1A1u,H1A1c,H1A2u,H1A2c,H1A3u,H1A3c,Energy,HNR05,HNR15,HNR25,HNR35,CPP,SHR,tone_misc,CQ,CQ_H,CQ_HT,CQ_PM,min_Vel,min_Vel_Time,peak_Vel,peak_Vel_Time,SQ2_SQ1,SQ4_SQ3,ratio,LPhon,SQ,token_id
Yi_F1,1,F,Yi,Village 1,f1_ti_33_02,58.654,644.24,585.586,5,i_33,Vowel,i,Tense,Oral,33.0,1.0,Mid,33,Unaspirated,Oral,238.456,238.509,238.959,238.296,366.658,138.551,2571.625,140.417,3343.56,90.725,4357.334,351.516,400.713,2560.551,3350.557,4505.412,19.433,14.471,13.49,10.883,-3.196,10.886,6.294,-9.959,3.982,10.153,4.224,11.523,5.943,3.588,16.686,-0.003,13.139,24.431,15.451,4.318,15.21,2.949,1.876,50.074,59.245,58.872,53.294,28.348,0.0,mid,0.585,0.546,0.393,0.522,-622.654,352.305,1055.112,350.118,1.11,1.563,0.542,Yi-Tense,0.710172744721689,799350724079276544
Yi_F1,1,F,Yi,Village 2,F1_tl_be=_21_01,254.249,540.083,285.834,5,e=_21,Vowel,ə,Tense,Oral,21.0,2.0,Low,21,Unaspirated,Oral,171.115,171.31,179.437,173.263,576.335,98.854,1448.658,132.543,3387.745,99.245,4133.688,413.172,663.572,1413.619,3505.712,4845.113,17.251,16.227,22.337,17.498,24.248,16.514,29.927,6.21,20.017,5.655,8.202,22.418,-5.086,-1.271,-1.911,0.984,-12.676,10.035,-2.766,10.572,9.049,-6.192,17.953,26.223,22.29,25.204,24.683,23.92,0.166,low,0.619,0.571,0.649,0.591,-443.69,399.501,1138.921,396.018,0.642,1.047,0.148,Yi-Tense,0.613180515759312,511419099124001799
Yi_F1,1,F,Yi,Village 2,F1_tl_be=_21_02,277.095,476.215,199.12,5,e=_21,Vowel,ə,Tense,Oral,21.0,2.0,Low,21,Unaspirated,Oral,177.995,178.524,184.096,179.78,567.718,94.843,1475.504,77.611,3355.957,135.426,4051.417,371.935,579.072,1410.804,3541.479,5182.665,18.218,17.14,22.384,17.247,23.909,17.555,30.837,7.22,22.62,8.406,9.271,22.968,-4.165,-0.107,-1.526,-0.308,-12.619,9.938,-4.402,8.734,8.948,-5.828,20.724,30.311,26.067,28.389,27.358,25.028,0.0,low,0.617,0.582,0.68,0.605,-403.104,378.437,1237.706,375.036,0.443,0.839,0.142,Yi-Tense,0.528009535160906,6585312136820547762
Yi_F1,1,F,Yi,Village 2,F1_tl_be=21_01,264.629,475.245,210.616,5,e=21,Vowel,ə,Lax,Oral,21.0,2.0,Low,21,Unaspirated,Oral,169.78,170.396,174.329,171.012,471.661,114.977,1579.694,373.718,2893.152,527.825,4289.266,744.294,519.635,1677.552,3363.974,4995.219,31.472,30.256,32.652,26.551,20.084,16.483,37.896,15.135,17.788,6.08,5.929,13.991,-1.179,3.705,12.568,10.068,-6.424,15.127,13.685,24.177,25.543,16.265,98.259,18.7,23.043,24.249,23.377,24.654,0.0,low,0.446,0.408,0.479,0.412,-830.469,371.312,2242.497,368.873,0.854,1.781,0.476,Yi-Lax,0.47950589556429,-6043580081983595952
Yi_F1,1,F,Yi,Village 2,F1_tl_be=21_02,251.935,477.065,225.13,5,e=21,Vowel,ə,Lax,Oral,21.0,2.0,Low,21,Unaspirated,Oral,170.435,170.904,174.284,171.917,471.502,117.144,1515.12,362.144,3078.414,609.816,3988.017,867.224,523.781,1583.133,3303.211,5056.2,29.639,28.298,32.233,25.336,20.814,19.37,36.551,14.205,18.91,8.035,4.861,15.666,-2.594,2.962,11.418,5.966,-6.912,14.1,10.729,20.264,24.778,12.633,73.457,26.044,29.011,29.832,28.523,26.241,0.0,low,0.459,0.42,0.487,0.439,-754.284,366.255,2137.839,363.661,0.992,1.898,0.512,Yi-Lax,0.522655426765016,-1755308419744181578
Yi_F1,1,F,Yi,Village 2,F1_tl_cjie_21_02,472.81,703.583,230.773,5,jie_21,Vowel,jie,Tense,Oral,21.0,2.0,Low,21,Unaspirated,Oral,144.019,109.888,154.052,147.514,444.91,100.116,2632.426,164.325,3193.065,298.563,4394.563,622.212,498.139,2715.432,3368.501,4701.051,17.101,16.066,23.487,18.396,19.187,16.201,28.078,6.422,14.072,14.822,11.35,8.935,-6.386,-2.33,4.301,2.195,-10.977,9.645,3.029,1.244,5.751,7.131,9.855,13.653,19.73,21.721,17.564,20.633,0.208,low,0.66,0.629,0.724,0.638,-556.084,590.759,1774.287,586.272,0.558,1.027,0.068,Yi-Tense,0.543330087633885,-258387900674661078
Yi_F1,1,F,Yi,Village 2,F1_tl_cjie21_02,423.968,578.957,154.989,5,jie21,Vowel,jie,Lax,Oral,21.0,2.0,Low,21,Unaspirated,Oral,170.444,171.245,176.87,172.435,406.471,126.002,2618.02,263.287,3299.799,307.224,4594.437,345.955,452.25,2701.653,3336.945,4748.903,24.819,23.022,28.366,17.101,9.822,14.865,26.733,7.101,14.69,17.803,12.893,14.974,-3.547,5.921,18.544,2.235,-1.914,15.921,10.129,5.218,11.926,8.048,15.502,24.898,32.448,31.887,25.551,24.06,0.0,low,0.556,0.439,0.476,0.467,-759.949,503.296,1797.817,500.522,1.935,2.139,0.907,Yi-Lax,0.904628330995793,-4352722124618559982
Yi_F1,1,F,Yi,Village 2,F1_tl_de=_21_01,305.744,479.296,173.552,5,e=_21,Vowel,ə,Tense,Oral,21.0,2.0,Low,21,Unaspirated,Oral,184.83,185.024,195.894,188.45,550.38,23.203,1476.477,321.406,2078.67,2675.372,3401.773,115.382,578.449,1540.17,3548.242,5034.7,14.8,13.598,21.577,15.678,12.358,8.24,29.935,6.649,15.418,2.15,-2.171,-6.052,-6.777,-2.08,9.219,7.439,-15.136,6.953,-0.618,11.448,16.971,19.65,18.307,19.258,18.384,22.356,24.314,20.024,0.0,low,0.678,0.645,0.7,0.651,-503.778,394.422,1081.61,390.841,0.769,1.957,0.309,Yi-Tense,0.392948390393459,39262826504859678
Yi_F1,1,F,Yi,Village 2,F1_tl_de=_21_02,248.231,430.018,181.787,5,e=_21,Vowel,ə,Tense,Oral,21.0,2.0,Low,21,Unaspirated,Oral,167.075,168.886,180.806,171.136,499.152,28.314,1565.006,151.803,3388.217,269.63,3959.543,1254.908,531.579,1575.639,3645.68,5191.18,11.641,10.471,18.463,12.703,10.883,7.247,26.878,4.081,8.378,-3.273,-7.469,6.717,-6.821,-2.233,7.579,5.456,-15.237,6.4,3.264,13.744,19.11,3.754,6.752,14.885,14.806,19.959,23.867,17.975,0.0,low,0.697,0.642,0.728,0.676,-367.657,341.927,881.938,337.837,0.701,1.984,0.169,Yi-Tense,0.353326612903226,-8855023119578444833
Yi_F1,1,F,Yi,Village 2,F1_tl_de=21_01,284.956,473.128,188.172,5,e=21,Vowel,ə,Lax,Oral,21.0,2.0,Low,21,Unaspirated,Oral,171.989,172.702,177.39,173.537,490.718,97.074,1677.223,198.918,3289.132,187.387,4137.033,838.199,515.712,1680.101,3428.329,4920.841,25.297,24.079,25.558,19.444,9.678,7.444,30.183,7.755,8.785,-0.913,-0.069,11.874,-0.261,4.636,15.881,11.999,-4.886,16.33,16.512,24.993,25.366,12.205,18.14,22.222,26.056,27.631,27.218,21.534,0.0,low,0.425,0.384,0.454,0.376,-782.191,380.393,2244.369,378.197,0.922,1.717,0.527,Yi-Lax,0.536983110075713,-1313708039528650261
