speaker_id,speaker_number,speaker_sex,language,language_variety,filename,segment_start,segment_end,duration,timepoint,textgrid_label,segment_type,vowel_quality,phonation,vowel_nasality,tone_contour,number_of_tone_targets,tone_category,language_specific_tone,consonant_aspiration,consonant_nasality,strF0,sF0,pF0,shrF0,sF1,sB1,sF2,sB2,sF3,sB3,sF4,sB4,pF1,pF2,pF3,pF4,H1u,H1c,H2u,H2c,H4u,H4c,A1u,A1c,A2u,A2c,A3u,A3c,H1H2u,H1H2c,H2H4u,H2H4c,H1A1u,H1A1c,H1A2u,H1A2c,H1A3u,H1A3c,Energy,HNR05,HNR15,HNR25,HNR35,CPP,SHR,tone_misc,CQ,CQ_H,CQ_HT,CQ_PM,min_Vel,min_Vel_Time,peak_Vel,peak_Vel_Time,SQ2_SQ1,SQ4_SQ3,ratio,LPhon,SQ,token_id
Zapotec_M1,1,M,Zapotec,Santiago Matatlan Zapotec,speaker1M_aC32_1,10.0,100.118,90.118,5,aC32,Vowel,a,Creaky,Oral,51.0,2.0,Big,,Unaspirated,,110.587,381.13,377.019,136.958,773.323,68.589,1174.466,119.943,2376.658,137.108,3538.015,371.966,881.403,1806.476,3451.918,5086.924,0.622,0.333,3.883,2.692,0.128,-5.384,14.097,-16.22,5.724,-20.278,-9.512,-12.131,-3.261,-2.358,3.754,8.075,-13.475,16.574,-5.102,20.611,10.134,12.464,0.487,26.143,20.961,27.249,31.136,22.368,0.292,Lfall,0.637,0.585,0.624,0.598,-750.809,58.644,1560.321,53.005,1.386,2.646,0.557,Zapotec-Creaky,0.523809523809524,-2561964097141704909
Zapotec_M1,1,M,Zapotec,Santiago Matatlan Zapotec,speaker1M_aC34,10.0,125.446,115.446,5,aC34,Vowel,a,Creaky,Oral,51.0,2.0,Big,,Unaspirated,,120.431,,127.373,140.332,729.969,107.887,1224.7,140.174,2139.472,164.655,3387.436,262.69,876.111,1687.834,3662.257,4185.822,5.791,5.427,9.885,8.369,7.544,-0.058,15.726,-12.544,6.762,-15.743,-3.543,-11.432,-4.094,-2.941,2.341,8.426,-9.936,17.978,-0.971,21.17,9.333,16.859,0.991,21.21,14.516,19.666,24.374,22.344,0.641,Lfall,0.659,0.59,0.65,0.633,-834.981,70.954,1662.251,65.535,1.291,2.545,0.547,Zapotec-Creaky,0.507269155206287,-2290281426718482649
Zapotec_M1,1,M,Zapotec,Santiago Matatlan Zapotec,speaker1M_aC34_1,10.0,142.897,132.897,5,aC34,Vowel,a,Creaky,Oral,51.0,2.0,Big,,Unaspirated,,109.484,73.081,123.521,108.252,728.466,85.614,1249.276,151.653,2113.464,174.724,3176.252,262.672,840.144,1670.056,3179.061,4667.9,1.054,0.761,5.227,4.013,-2.774,-8.491,11.502,-17.392,3.09,-20.386,-8.061,-17.11,-4.172,-3.252,8.001,12.504,-10.448,18.159,-2.035,21.146,9.115,17.871,0.329,20.37,16.198,22.036,27.336,20.924,0.178,Lfall,0.426,0.362,0.367,0.34,-373.384,78.878,1577.034,75.645,1.007,2.938,0.336,Zapotec-Creaky,0.342750170183798,8205918747658548991
Zapotec_M1,1,M,Zapotec,Santiago Matatlan Zapotec,speaker1M_aC35,10.0,348.54,338.54,5,aC35,Vowel,a,Creaky,Oral,51.0,2.0,Big,,Unaspirated,,112.48,112.352,113.242,112.668,704.831,127.203,953.237,118.446,2584.595,129.42,3389.831,160.96,839.028,2688.332,3459.194,5806.509,1.735,1.382,5.213,3.754,3.76,-3.122,16.788,-15.234,14.387,-14.844,-8.471,-1.918,-3.479,-2.372,1.453,6.875,-15.053,16.715,-12.653,16.225,10.205,3.3,0.983,51.19,45.71,49.807,46.362,28.955,0.676,Lfall,0.598,0.48,0.541,0.501,-350.147,181.983,1138.742,177.514,1.889,3.621,0.518,Zapotec-Creaky,0.52167909417288,-6738205839501450926
Zapotec_M1,1,M,Zapotec,Santiago Matatlan Zapotec,speaker1M_aC35_1,10.0,266.451,256.451,5,aC35,Vowel,a,Creaky,Oral,51.0,2.0,Big,,Unaspirated,,109.284,109.15,109.965,109.226,734.154,87.468,1044.251,143.711,2195.6,169.154,3392.575,194.247,852.212,1959.566,3410.703,,0.543,0.245,3.734,2.506,1.619,-4.013,17.459,-14.243,12.452,-16.006,-10.191,-13.249,-3.19,-2.261,2.115,6.519,-16.915,14.517,-11.909,16.252,10.735,13.494,0.898,50.986,44.176,45.936,45.965,28.941,0.065,Lfall,0.574,0.453,0.577,0.564,-290.247,141.154,1086.749,135.972,1.784,4.053,0.441,Zapotec-Creaky,0.440167776955342,-8912241216623467457
Zapotec_M1,1,M,Zapotec,Santiago Matatlan Zapotec,speaker1M_aC37,10.0,368.866,358.866,5,aC37,Vowel,a,Creaky,Oral,51.0,2.0,Big,,Unaspirated,,114.756,114.783,115.427,144.487,692.63,103.972,954.047,80.528,2566.213,184.869,3254.896,261.873,846.618,2761.165,3372.212,3856.906,2.918,2.541,6.878,5.316,4.312,-3.175,19.509,-12.044,16.605,-12.008,-10.469,-3.722,-3.961,-2.775,2.566,8.491,-16.592,14.674,-13.688,14.549,13.387,6.263,1.418,52.423,47.505,52.285,49.829,29.661,0.443,Lfall,0.503,0.385,0.395,0.331,-1856.579,188.923,2461.914,187.714,1.421,3.341,0.913,Zapotec-Creaky,0.42532175995211,4172066353303939451
Zapotec_M1,1,M,Zapotec,Santiago Matatlan Zapotec,speaker1M_aC37_1,10.0,285.295,275.295,5,aC37,Vowel,a,Creaky,Oral,51.0,2.0,Big,,Unaspirated,,113.306,113.039,114.678,113.99,732.03,88.825,1025.744,105.55,2397.027,228.279,3380.6,246.946,861.001,1640.143,3437.977,3843.745,1.773,1.444,5.465,4.106,2.207,-4.137,15.753,-15.953,12.192,-16.39,-12.977,-11.684,-3.693,-2.663,3.259,8.243,-13.98,17.447,-10.42,17.833,14.75,13.128,0.779,48.698,41.929,45.314,44.873,28.589,0.841,Lfall,0.461,0.354,0.4,0.428,-1236.514,149.308,2332.681,145.926,1.475,2.847,2.154,Zapotec-Creaky,0.518089216719354,-4695990526956063293
Zapotec_M1,1,M,Zapotec,Santiago Matatlan Zapotec,speaker1M_aC46_1,10.0,98.797,88.797,5,aC46,Vowel,a,Creaky,Oral,51.0,2.0,Big,,Unaspirated,,104.693,104.162,105.073,104.541,674.245,124.853,1125.25,134.768,1885.578,442.537,3347.978,323.828,740.812,1235.239,3292.968,4925.818,-0.369,-0.66,1.483,0.283,-4.747,-10.325,4.637,-24.635,-1.461,-26.014,-23.593,-32.847,-1.852,-0.942,6.23,10.607,-5.006,23.982,1.092,25.354,23.224,32.187,0.07,41.251,38.931,45.934,49.313,22.757,0.847,Lfall,0.53,0.321,0.006,0.321,-2274.614,54.454,2371.958,54.703,2.136,3.088,0.692,Zapotec-Creaky,0.691709844559586,-8689994338498542080
Zapotec_M1,1,M,Zapotec,Santiago Matatlan Zapotec,speaker1M_aM1_2,10.0,140.904,130.904,5,aM1,Vowel,a,Modal,Oral,55.0,1.0,High,,Unaspirated,,147.425,146.993,147.807,147.401,823.508,111.003,1102.453,102.493,2367.795,153.586,3178.775,519.051,967.731,2498.785,4921.062,5081.391,4.564,4.12,6.844,4.987,8.038,-1.221,19.495,-13.182,18.677,-11.296,-1.669,-4.225,-2.28,-0.868,-1.194,6.208,-14.93,17.364,-14.112,15.416,6.234,8.345,2.571,50.419,40.491,42.849,43.572,27.883,0.916,high,0.525,0.54,0.614,0.535,-1606.829,77.898,3817.193,74.26,0.172,1.458,0.118,Zapotec-Modal,0.117969821673525,1234198177233096498
Zapotec_M1,1,M,Zapotec,Santiago Matatlan Zapotec,speaker1M_aM12,10.0,207.538,197.538,5,aM12,Vowel,a,Modal,Oral,55.0,1.0,High,,Unaspirated,,133.457,132.756,135.8,134.683,664.0,85.301,1189.48,177.149,2090.996,334.808,3383.326,195.765,746.333,1491.586,3436.381,5777.244,-3.845,-4.333,-0.325,-2.393,-0.726,-12.309,6.906,-20.849,-4.465,-26.842,-21.965,-26.68,-3.52,-1.941,0.402,9.916,-10.75,16.524,0.62,22.509,18.121,22.346,0.107,46.428,43.667,47.371,49.286,25.298,0.0,high,0.596,0.479,0.522,0.539,-531.244,110.96,1392.434,106.916,1.518,2.792,0.544,Zapotec-Modal,0.543696275071633,-1684269015645099927
