"speaker_id","speaker_number","speaker_sex","language","language_variety","filename","segment_start","segment_end","duration","timepoint","textgrid_label","segment_type","vowel_quality","phonation","vowel_nasality","tone_contour","number_of_tone_targets","tone_category","language_specific_tone","consonant_aspiration","consonant_nasality","strF0","sF0","pF0","shrF0","sF1","sB1","sF2","sB2","sF3","sB3","sF4","sB4","pF1","pF2","pF3","pF4","H1u","H1c","H2u","H2c","H4u","H4c","A1u","A1c","A2u","A2c","A3u","A3c","H1H2u","H1H2c","H2H4u","H2H4c","H1A1u","H1A1c","H1A2u","H1A2c","H1A3u","H1A3c","Energy","HNR05","HNR15","HNR25","HNR35","CPP","SHR","tone_misc","CQ","CQ_H","CQ_HT","CQ_PM","min_Vel","min_Vel_Time","peak_Vel","peak_Vel_Time","SQ2_SQ1","SQ4_SQ3","ratio","LPhon","SQ"
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-01_Audio",441.383,564.965,123.582,5,"a","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Unaspirated",NA,122.898,122.9,123.487,123.113,740.374,413.062,1395.007,273.405,2446.094,367.258,4448.847,279.365,825.142,1548.746,2966.233,4552.957,20.065,19.709,17.112,15.624,9.685,2.187,14.49,-13.108,5.734,-15.268,-10.413,-13.49,2.953,4.085,7.427,13.437,5.576,32.825,14.331,34.977,30.478,33.199,2.327,51.867,49.814,49.383,48.823,28.974,0,NA,0.464,0.48,0.525,0.412,-225.087,504.331,965.846,500.699,0.831,2.662,0.312,"Gujarati-Modal",0.312171299774606
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-01_Audio",2538.118,2655.627,117.509,5,"a","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Unaspirated",NA,117.876,117.969,118.508,118.554,694.057,353.617,1410.645,199.175,2422.195,495.628,4428.004,168.783,745.568,1471.465,3178.947,4440.472,19.629,19.313,18.888,17.574,10.306,3.927,14.976,-12.787,8.135,-12.878,-10.442,-14.906,0.741,1.739,8.582,13.646,4.652,32.106,11.493,32.191,30.071,34.218,2.513,41.535,38.492,39.325,39.798,27.605,0,NA,0.493,0.503,0.528,0.4,-186.981,2599.045,838.119,2595.661,1.066,3.01,0.354,"Gujarati-Modal",0.354152823920266
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-01_Audio",4676.495,4793.83,117.335,5,"a","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Unaspirated",NA,118.165,117.91,119.028,118.554,764.511,324.423,1438.527,141.503,3673.329,542.303,4469.395,311.466,607.443,1374.466,3747.423,4597.354,17.842,17.55,16.611,15.402,6.677,0.951,9.942,-18.467,2.285,-19.829,-21.509,-9.438,1.231,2.148,9.934,14.451,7.9,36.067,15.557,37.379,39.352,26.988,1.436,50.658,47.928,47.214,46.104,24.773,0,NA,0.574,0.504,0.451,0.435,-147.736,4737.168,510.451,4733.486,1.976,3.087,0.64,"Gujarati-Modal",0.640103660511824
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-01_Audio",6745.692,6833.65,87.9579999999996,5,"a","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Unaspirated",NA,116.665,116.373,117.335,117.072,736.158,323.743,1514.186,115.551,3734.476,281.091,4527.439,286.426,546.593,1495.945,3915.524,4599.466,17.853,17.571,16.317,15.149,4.98,-0.544,7.849,-20.163,-0.923,-21.876,-19.305,-7.863,1.536,2.422,11.337,15.693,10.005,37.772,18.777,39.447,37.158,25.434,1.228,47.099,47.384,47.395,47.26,26.731,0,NA,0.527,0.467,0.419,0.359,-147.021,6791.186,520.911,6788.364,1.832,3.168,0.578,"Gujarati-Modal",0.578282828282828
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-01_Audio",9135.333,9233.112,97.7789999999986,5,"a","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Unaspirated",NA,116.925,116.942,117.774,117.072,755.684,383.512,1486.349,145.672,2599.733,677.714,4538.585,321.582,579.476,1469.145,4021.329,4634.889,19.318,19.034,16.992,15.817,7.223,1.652,9.66,-18.483,3.863,-17.357,-18.096,-22.244,2.327,3.218,9.769,14.165,9.659,37.525,15.455,36.392,37.415,41.279,1.676,44.699,42.733,42.542,42.988,25.999,0,NA,0.458,0.467,0.481,0.384,-179.65,9185.289,761.179,9182,1.112,2.979,0.374,"Gujarati-Modal",0.373279624034911
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-03_Audio",313.449,543.99,230.541,5,"a=","Vowel","a","Breathy","Oral",NA,NA,NA,NA,"Unaspirated",NA,118.339,120.656,116.056,118.533,611.312,663.505,1460.793,359.355,2837.886,490.516,3929.421,289.624,830.072,1890.464,4081.413,4526.613,22.216,21.845,21.705,20.148,7.507,-0.713,4.257,-17.717,-0.128,-21.653,-15.763,-12.918,0.51,1.698,14.198,20.86,17.959,39.57,22.344,43.499,37.979,34.763,4.372,13.787,18.138,25.785,30.142,18.911,0,NA,0.235,0.25,0.267,0.189,-405.139,436.727,784.351,435.182,0.727,1.136,0.64,"Gujarati-Breathy",0.639964788732394
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-03_Audio",1838.375,2072.334,233.959,5,"a=","Vowel","a","Breathy","Oral",NA,NA,NA,NA,"Unaspirated",NA,116.11,117.717,114.811,116.169,831.273,400.611,1352.267,345.175,2741.031,660.304,4436.332,387.247,717.223,1689.299,3697.23,4556.878,23.001,22.788,22.863,21.991,9.283,5.424,7.183,-24.618,1.514,-25.969,-15.565,-17.408,0.138,0.797,13.581,16.567,15.819,47.442,21.488,48.757,38.566,40.197,4.856,17.78,20.803,27.821,30.921,21.344,0.948,NA,0.27,0.282,0.305,0.223,-357.489,1955.972,882.823,1954.079,0.523,1.437,0.365,"Gujarati-Breathy",0.363952679192763
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-03_Audio",5194.947,5426.663,231.715999999999,5,"a=","Vowel","a","Breathy","Oral",NA,NA,NA,NA,"Unaspirated",NA,117.5,118.049,115.656,117.137,850.757,349.967,1301.774,402.538,2581.436,652.833,4479.016,349.496,715.81,1939.188,4065.73,4667.384,23.608,23.396,23.094,22.226,8.779,4.946,6.842,-26.196,1.386,-27.916,-15.147,-19.264,0.515,1.17,14.315,17.28,16.766,49.649,22.223,51.312,38.755,42.66,5.739,18.538,21.086,27.727,31.172,20.97,0.801,NA,0.277,0.29,0.321,0.21,-361.556,5313.825,985.07,5312.05,0.39,1.504,0.26,"Gujarati-Breathy",0.259308510638298
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-03_Audio",7062.907,7282.77,219.863,5,"a=","Vowel","a","Breathy","Oral",NA,NA,NA,NA,"Unaspirated",NA,115.915,117.222,112.838,115.172,901.612,357.332,1365.063,778.399,3604.352,414.431,4481.075,397.483,649.299,1971.128,4071.822,4825.209,23.316,23.145,22.975,22.281,6.932,3.919,2.724,-29.798,-7.182,-34.804,-17.977,-14.185,0.341,0.865,16.044,18.362,20.592,53.027,30.498,57.949,41.293,37.33,5.127,12.606,18.836,25.994,29.825,17.391,0.587,NA,0.275,0.291,0.336,0.192,-318.989,7177.909,914.878,7176.291,0.424,1.558,0.273,"Gujarati-Breathy",0.27214377406932
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-04_Audio",1702.626,1878.303,175.677,5,"a","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Unaspirated",NA,121.595,121.853,122.616,121.575,611.198,174.681,1276.207,233.698,2394.064,326.434,3628.092,152.254,673.367,1511.053,3514.146,4608.94,18.994,18.554,17.932,16.075,10.55,0.267,18.218,-8.202,6.945,-12.507,-8.273,-7.607,1.061,2.48,7.382,15.808,0.776,26.764,12.049,31.061,27.266,26.162,2.555,36.291,33.049,33.46,33.41,23.504,0,NA,0.482,0.445,0.411,0.352,-172.776,1791.755,517.861,1788.859,1.318,2.795,0.472,"Gujarati-Modal",0.471556350626118
